id,body,picture,actor,time,class,experiment_group
58,"The red tree, tall in its superior elegance,
Effortlessly glowing, radiant in the golden light
Like a fiery phoenix rising from it's
Sleek smoky ashes, reborn.",Red Tree.jpg,localewis,35:17:00,normal,var1
59,☁️,Cloud.jpg,localewis,59:18:00,normal,var1
60,The golden day,Through the window.jpg,localewis,-14:19:00,normal,var1
61,Ribbit~ Ribbit~ Ribbbbbbbbbbit~,Origami.jpg,localewis,10:20,normal,var1
62,My girlfriend says I finally find my missing brother ,Gorilla.jpg,localewis,34:21:00,normal,var1
63,How are you?,Cat.jpg,casssssssssie,58:22:00,normal,var1
64,The best fried chicken in the world!,Hattie B's.jpg,_aikira_,-15:23:00,normal,var1
65,"It is strange to long for slow days, filled with quiet moments of joy",French Street.jpg,casssssssssie,9:24,normal,var1
66,Are you going to scarborough fair? ,Flowers.jpg,casssssssssie,33:25:00,normal,var1
67,Crocheting cuddly companions for a cozy world. 🧶🐻,crochet_bear.jpg,lee.alexa,66:00.000,normal,var1
68,New addition to my amigurumi collection! I am on FIRE 🔥,crochet_birds.jpg,lee.alexa,-16:27.000,normal,var1
69,Bite into happiness: it's burger o'clock! #bestburger,burger.jpg,mateoV,8:28,normal,var1
70,Gotta keep those creative juices flowing 🎨✨,christmas.jpg,lee.alexa,-17:22.000,normal,var1
71,Olaf's got my heart! What's your pick? ❄️🤔,fun_activity.jpg,mateoV,56:30:00,normal,var1
73,"Friends who study together, stay together! 📚💡",workshop.jpg,mateoV,-07:32.000,normal,var1
76,just took the most fun makeup class!! ,makeup class.jpg,ria_camiii,-19:00.000,normal,var1
77,i was enchanted!!! #erastour,concert-2.jpg,ria_camiii,6:36,normal,var1
78,pretty skies outside,pretty sky.jpg,ria_camiii,30:37:00,normal,var1
79,am i an artist now? 🎨,painting.jpg,ria_camiii,54:36:00,normal,var1
80,should I start livestreaming?? like if u agree,gaming.jpg,SnakeCharmer,-05:55.000,normal,var1
81,im on top of the world!!!,rock-climbing.jpg,Jcole9,-18:00.000,normal,var1
83,Chicken Soup for Little Souls #ifyouknowyouknow,soup.jpg,SnakeCharmer,29:41:00,normal,var1
84,giving levain some competiton!,baking.jpg,breethebaker,-06:00.000,normal,var1
85,after so long! <3 ,group selfie.jpg,breethebaker,-19:43:00,normal,var1
86,i miss the sun...,stuck_in_rain.jpg,breethebaker,62:41:00,normal,var1
87,catch flights not feelings ✈️,travel.jpg,breethebaker,28:45:00,normal,var1
88,bffs! ,besties.jpg,livelaughlove,-2:00.000,normal,var1
89,i hope u find magic in the little things ✨,quote.jpg,livelaughlove,50:00.000,normal,var1
90,working hard or hardly working? ,working from cafe.jpg,livelaughlove,3:48,normal,var1
91,life is better on a skateboard,frank-skateboard.jpeg,frankjones10,-7:30.000,normal,var1
